Title,True_Poss,True_Negs,False_Poss,False_Negs,Precision,Recall,Specifity,F-Score,Error
05 - 2003-Circonstances attenuantes part II.lab: ,4291,4993,1212,426,0.779756496,0.909688361,1.058511766,0.839726027,0.149972533
03 - castaway.lab: ,10462,4107,2928,612,0.78132935,0.944735416,0.370868701,0.85529758,0.195482909
03 - Say me Good Bye.lab: ,10137,32386,275,2048,0.973588167,0.831924497,2.657858022,0.897198743,0.051799492
04 - Healing Luna.lab: ,9736,15415,1085,2132,0.899732003,0.820357263,1.298870913,0.858213231,0.113402425
03 - Si Dieu.lab: ,8020,3996,240,403,0.97094431,0.952154814,0.474415291,0.961457771,0.050793902
05 - Crepuscule.lab: ,7124,7566,1309,2091,0.844776473,0.773087358,0.821052632,0.807343608,0.187949143
05 - A Poings Fermes.lab: ,6809,13279,392,284,0.945563116,0.959960524,1.87212745,0.95270743,0.032556348
03 - Une charogne.lab: ,14299,3600,1087,555,0.929351358,0.962636327,0.242358961,0.945701058,0.084028453
05 - Elles disent.lab: ,9446,5452,332,1546,0.966046226,0.859352256,0.495997089,0.909581127,0.111945637
04 - Inside.lab: ,3259,9072,3517,196,0.48096222,0.943270622,2.625759768,0.637083374,0.231426078
03 - School.lab: ,10292,7169,1898,1037,0.844298605,0.908465001,0.632800777,0.875207279,0.143900765
05 - 16 ans.lab: ,5744,15065,1485,56,0.794577397,0.990344828,2.597413793,0.881725382,0.068948546
04 - Believe.lab: ,9702,4531,838,279,0.920493359,0.972046889,0.453962529,0.945567955,0.07276873
05 - 05 LIrlandaise.lab: ,5780,5050,4053,127,0.587816536,0.978500085,0.854917894,0.734434562,0.278481013
05 - Dance.lab: ,6863,1672,1426,135,0.827964773,0.980708774,0.238925407,0.897887094,0.154615689
04 - You are.lab: ,3485,1360,937,0,0.78810493,1,0.390243902,0.881497407,0.162054652
Total,125449,134713,23014,11927,0.844984946,0.913179886,0.854089661,0.877759858,0.118402727
